,Principal Job Category,ACADEMIA,Field,GENDER,AGEGRP,Count
0,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 29 or younger ,72
1,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 30-34 ,636
2,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 35-39 ,707
3,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 40-44 ,477
4,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 45-49 ,403
5,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 50-54 ,252
6,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 55-59 ,224
7,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 60-64 ,186
8,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 65-69 ,76
9,"Biological, agricultural and other life scientists ",FALSE,Industry,Female ,Ages 70-75 ,19
10,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 29 or younger ,70
11,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 30-34 ,774
12,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 35-39 ,921
13,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 40-44 ,622
14,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 45-49 ,436
15,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 50-54 ,383
16,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 55-59 ,297
17,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 60-64 ,245
18,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 65-69 ,110
19,"Biological, agricultural and other life scientists ",TRUE,Academic,Female ,Ages 70-75 ,51
20,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 29 or younger ,28
21,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 30-34 ,350
22,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 35-39 ,509
23,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 40-44 ,505
24,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 45-49 ,375
25,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 50-54 ,389
26,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 55-59 ,393
27,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 60-64 ,373
28,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 65-69 ,200
29,"Biological, agricultural and other life scientists ",FALSE,Industry,Male ,Ages 70-75 ,117
30,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 29 or younger ,31
31,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 30-34 ,582
32,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 35-39 ,725
33,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 40-44 ,649
34,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 45-49 ,531
35,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 50-54 ,472
36,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 55-59 ,499
37,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 60-64 ,457
38,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 65-69 ,283
39,"Biological, agricultural and other life scientists ",TRUE,Academic,Male ,Ages 70-75 ,129
40,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 29 or younger ,27
41,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 30-34 ,240
42,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 35-39 ,240
43,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 40-44 ,197
44,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 45-49 ,129
45,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 50-54 ,119
46,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 55-59 ,76
47,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 60-64 ,59
48,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 65-69 ,33
49,Computer and mathematical scientists ,FALSE,Industry,Female ,Ages 70-75 ,5
50,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 29 or younger ,12
51,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 30-34 ,148
52,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 35-39 ,171
53,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 40-44 ,153
54,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 45-49 ,146
55,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 50-54 ,135
56,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 55-59 ,85
57,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 60-64 ,83
58,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 65-69 ,46
59,Computer and mathematical scientists ,TRUE,Academic,Female ,Ages 70-75 ,13
60,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 29 or younger ,73
61,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 30-34 ,543
62,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 35-39 ,615
63,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 40-44 ,416
64,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 45-49 ,361
65,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 50-54 ,365
66,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 55-59 ,310
67,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 60-64 ,206
68,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 65-69 ,136
69,Computer and mathematical scientists ,FALSE,Industry,Male ,Ages 70-75 ,87
70,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 29 or younger ,27
71,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 30-34 ,241
72,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 35-39 ,347
73,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 40-44 ,286
74,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 45-49 ,271
75,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 50-54 ,271
76,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 55-59 ,261
77,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 60-64 ,232
78,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 65-69 ,153
79,Computer and mathematical scientists ,TRUE,Academic,Male ,Ages 70-75 ,114
80,Engineers ,FALSE,Industry,Female ,Ages 29 or younger ,29
81,Engineers ,FALSE,Industry,Female ,Ages 30-34 ,251
82,Engineers ,FALSE,Industry,Female ,Ages 35-39 ,265
83,Engineers ,FALSE,Industry,Female ,Ages 40-44 ,182
84,Engineers ,FALSE,Industry,Female ,Ages 45-49 ,132
85,Engineers ,FALSE,Industry,Female ,Ages 50-54 ,101
86,Engineers ,FALSE,Industry,Female ,Ages 55-59 ,79
87,Engineers ,FALSE,Industry,Female ,Ages 60-64 ,34
88,Engineers ,FALSE,Industry,Female ,Ages 65-69 ,6
89,Engineers ,FALSE,Industry,Female ,Ages 70-75 ,5
90,Engineers ,TRUE,Academic,Female ,Ages 29 or younger ,12
