,N2OCPRMG,N2OCPRNG,FemaleSalary,MaleSalary,Gap
0,"Biological, agricultural and other life scientists ","Biological, agricultural and other life scientists ",81311.59,94694.48,14.13
1,"Biological, agricultural and other life scientists ",Agricultural & food scientists ,84770.75,96699.76,12.33
2,"Biological, agricultural and other life scientists ",Biological and medical scientists ,85307.41,98737.98,13.6
3,"Biological, agricultural and other life scientists ",Environmental life scientists ,80244.04,83249.01,3.6
4,"Biological, agricultural and other life scientists ",Postsecondary teachers - life and related sciences ,72437.25,88819.33,18.44
5,Computer and mathematical scientists ,Computer and mathematical scientists ,102958.9,117036.68,12.02
6,Computer and mathematical scientists ,Computer and information scientists ,119568.65,135168.2,11.54
7,Computer and mathematical scientists ,Mathematical scientists ,113703.25,128842.59,11.75
8,Computer and mathematical scientists ,Postsecondary teachers - computer and math sciences ,80523.98,86610.33,7.02
9,Engineers ,Engineers ,102334.42,114988.94,11
10,Engineers ,"Aerospace, aeronautical or astronautical engineers ",122907.69,133947.36,8.24
11,Engineers ,Chemical engineers ,102917.43,128341.46,19.8
12,Engineers ,"Civil, architectural or sanitary engineers ",84170.73,97368.62,13.55
13,Engineers ,Electrical or computer hardware engineers ,121174.6,140101.69,13.5
14,Engineers ,Industrial engineers ,115741.93,122036.58,5.15
15,Engineers ,Mechanical engineers ,100000,121531.95,17.71
16,Engineers ,Other engineers ,109273.57,124343.36,12.11
17,Engineers ,Postsecondary teachers - engineering ,89668.93,92709.92,3.28
18,Non-S&E Occupations ,Non-S&E Occupations ,101425.98,142462.85,28.8
19,Non-S&E Occupations ,"Art, humanities and related occupations ",63873.56,77087.13,17.14
20,Non-S&E Occupations ,Management-related occupations ,99079.17,131500.48,24.65
21,Non-S&E Occupations ,Non-S&E Managers ,146717.68,182810.31,19.74
22,Non-S&E Occupations ,Non-S&E postsecondary teachers ,84551.46,104395.27,19
23,Non-S&E Occupations ,Non-S&E precollege teachers ,51273.38,60026.31,14.58
24,Non-S&E Occupations ,Other non-S&E occupations ,79312.95,105585.61,24.88
25,Non-S&E Occupations ,Sales and marketing occupations ,101948.14,111883,8.87
26,Non-S&E Occupations ,Social services and related occupations ,59262.33,61903.22,4.26
27,Physical and related scientists ,Physical and related scientists ,84644.85,98570.93,14.12
28,Physical and related scientists ,"Chemists, except biochemists ",95729.91,110771.89,13.57
29,Physical and related scientists ,"Earth scientists, geologists and oceanographers ",91843.95,107614,14.65
30,Physical and related scientists ,Other physical & related scientists ,102533.33,109226.72,6.12
31,Physical and related scientists ,Physicists and astronomers ,98306.22,112330.73,12.48
32,Physical and related scientists ,Postsecondary teachers - physical and related sciences ,72672.29,83015.36,12.45
33,S&E related occupations ,S&E related occupations ,103555.31,147141.48,29.62
34,S&E related occupations ,Health-related occupations ,96465.77,150835.93,36.04
35,S&E related occupations ,Other S&E-related occupations ,101809.52,154607.14,34.14
36,S&E related occupations ,S&E Pre-college Teachers ,53497.9,63385.78,15.59
37,S&E related occupations ,S&E managers ,142202.17,161437.88,11.91
38,S&E related occupations ,S&E technicians and technologists ,81017.85,103783.01,21.93
39,Social and related scientists ,Social and related scientists ,83575.32,97144.38,13.96
40,Social and related scientists ,Economists ,119547.03,130684.71,8.52
41,Social and related scientists ,Other social and related scientists ,93473.38,93787.64,0.33
42,Social and related scientists ,Political scientists ,101298.24,101216.66,-0.08
43,Social and related scientists ,Postsecondary teachers - social and related sciences ,77115.44,89544.23,13.88
44,Social and related scientists ,Psychologists ,85091.56,101931.19,16.52
45,Social and related scientists ,Sociologists and anthropologists ,79641.66,93784.48,15.08
